event_id,amount,failure_code,customer_tenure_months,past_successful_payments,past_failed_payments,checkout_funnel_depth,time_since_failure,label_recovered
PAY_00001,3390.6,card_expired,14,9,1,0,6.54,0
PAY_00002,883.65,insufficient_funds,15,11,1,0,19.42,0
PAY_00003,5294.89,card_expired,52,3,3,0,22.56,0
PAY_00004,6403.57,insufficient_funds,37,11,2,0,1.04,1
PAY_00005,355.32,gateway_timeout,60,11,1,0,11.16,1
PAY_00006,679.85,gateway_timeout,28,10,0,0,9.84,0
PAY_00007,2840.93,gateway_timeout,22,4,3,0,1.58,1
PAY_00008,1822.21,insufficient_funds,60,11,0,0,3.07,1
PAY_00009,2458.35,insufficient_funds,38,4,3,0,13.39,1
PAY_00010,1065.29,gateway_timeout,52,8,0,0,0.93,1
PAY_00011,6023.62,gateway_timeout,3,10,2,0,0.98,0
PAY_00012,5441.65,card_expired,32,6,3,0,11.32,0
PAY_00013,2670.65,insufficient_funds,50,7,4,0,32.2,0
PAY_00014,7717.82,gateway_timeout,49,10,0,0,25.83,1
PAY_00015,3990.04,insufficient_funds,43,9,2,0,5.37,1
PAY_00016,1058.65,other,10,6,1,0,21.02,0
PAY_00017,3614.82,card_expired,33,9,3,0,8.13,0
PAY_00018,958.3,other,7,10,5,0,21.24,0
PAY_00019,6017.92,other,49,19,4,0,46.04,0
PAY_00020,2378.25,gateway_timeout,38,7,2,0,1.58,1
PAY_00021,2078.05,mandate_expired,12,8,1,0,19.59,1
PAY_00022,1265.37,gateway_timeout,44,3,1,0,15.68,1
PAY_00023,8489.52,other,44,8,3,0,3.46,1
PAY_00024,2142.05,gateway_timeout,4,3,2,0,8.34,1
PAY_00025,1628.99,gateway_timeout,6,9,1,0,6.77,1
PAY_00026,1757.97,other,13,10,5,0,2.51,0
PAY_00027,4257.15,card_expired,5,5,1,0,2.07,0
PAY_00028,3602.88,other,33,2,5,0,10.57,0
PAY_00029,3777.35,insufficient_funds,53,5,2,0,0.8,0
PAY_00030,3846.3,insufficient_funds,4,3,7,0,25.32,0
PAY_00031,21283.63,gateway_timeout,37,9,4,0,0.75,1
PAY_00032,1665.08,gateway_timeout,26,9,2,0,1.25,1
PAY_00033,1497.88,checkout_abandon,51,7,4,5,13.24,1
PAY_00034,1107.96,gateway_timeout,29,5,1,0,7.82,1
PAY_00035,4628.67,card_expired,41,3,4,0,7.46,0
PAY_00036,7731.19,insufficient_funds,56,9,4,0,9.92,1
PAY_00037,2230.76,mandate_expired,9,6,2,0,6.77,0
PAY_00038,1079.11,card_expired,19,3,1,0,13.84,1
PAY_00039,1096.16,checkout_abandon,17,7,3,3,15.56,0
PAY_00040,4791.69,gateway_timeout,11,4,2,0,8.34,1
PAY_00041,5256.92,insufficient_funds,39,7,2,0,12.78,0
PAY_00042,4303.57,insufficient_funds,1,9,2,0,6.34,0
PAY_00043,1285.03,mandate_expired,24,4,1,0,9.08,0
PAY_00044,3153.31,checkout_abandon,8,11,3,2,10.9,0
PAY_00045,2809.42,insufficient_funds,37,17,1,0,1.06,1
PAY_00046,3111.11,other,46,3,2,0,9.9,0
PAY_00047,5975.81,mandate_expired,29,4,1,0,8.2,0
PAY_00048,3126.41,card_expired,27,9,0,0,14.36,0
PAY_00049,4929.34,gateway_timeout,27,10,0,0,6.29,1
PAY_00050,2674.79,other,12,6,1,0,0.82,0
PAY_00051,3338.13,insufficient_funds,23,13,2,0,5.08,1
PAY_00052,4700.08,insufficient_funds,56,9,2,0,25.11,1
PAY_00053,582.24,other,3,7,1,0,26.29,0
PAY_00054,1815.97,other,48,12,1,0,10.59,1
PAY_00055,1561.92,checkout_abandon,10,5,0,3,3.8,0
PAY_00056,1319.71,insufficient_funds,7,9,2,0,1.35,1
PAY_00057,1898.66,gateway_timeout,18,7,2,0,3.87,0
PAY_00058,11147.69,card_expired,17,8,1,0,3.22,0
PAY_00059,1051.75,card_expired,19,5,2,0,3.25,0
PAY_00060,6583.52,gateway_timeout,51,7,3,0,10.77,1
PAY_00061,464.6,insufficient_funds,55,7,0,0,17.34,1
PAY_00062,1788.55,mandate_expired,42,6,0,0,15.73,1
PAY_00063,2941.87,mandate_expired,9,9,2,0,27.44,0
PAY_00064,4492.97,gateway_timeout,57,8,1,0,5.98,0
PAY_00065,5091.22,checkout_abandon,51,10,2,5,4.93,1
PAY_00066,5526.96,other,5,15,1,0,5.99,0
PAY_00067,1763.97,insufficient_funds,24,2,4,0,5.13,1
PAY_00068,1574.5,checkout_abandon,47,9,1,5,7.45,1
PAY_00069,5895.96,checkout_abandon,6,9,0,2,7.63,1
PAY_00070,2064.7,checkout_abandon,5,12,3,4,8.29,1
PAY_00071,698.1,card_expired,37,9,4,0,6.65,0
PAY_00072,804.93,checkout_abandon,21,5,1,5,7.46,1
PAY_00073,996.84,checkout_abandon,27,11,1,5,19.57,1
PAY_00074,4110.12,insufficient_funds,46,8,3,0,23.96,1
PAY_00075,2882.67,mandate_expired,33,13,1,0,2.52,0
PAY_00076,4986.71,insufficient_funds,43,8,4,0,7.82,0
PAY_00077,1630.75,insufficient_funds,8,8,0,0,3.01,0
PAY_00078,2929.5,checkout_abandon,1,9,1,3,3.56,0
