rank,event_id,amount,failure_code,cause,strategy,recovery_probability,expected_recovered_amount,intervention_cost,expected_value,initial_action,final_action,safe_to_execute,rules_triggered
1,PAY_04142,79070.28,gateway_timeout,Gateway timeout,Retry immediately,0.8467,66948.81,2.0,66946.81,retry_now,retry_now,True,['All safety checks passed']
2,PAY_04223,65845.88,gateway_timeout,Gateway timeout,Retry immediately,0.7498,49371.24,2.0,49369.24,retry_now,retry_now,True,['All safety checks passed']
3,PAY_03305,54861.01,gateway_timeout,Gateway timeout,Retry immediately,0.8108,44481.31,2.0,44479.31,retry_now,retry_now,True,['All safety checks passed']
4,PAY_05247,63914.73,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6762,43219.14,2.0,43217.14,retry_scheduled,retry_scheduled,True,['All safety checks passed']
5,PAY_05950,61833.89,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6789,41979.03,2.0,41977.03,retry_scheduled,retry_scheduled,True,['All safety checks passed']
6,PAY_08092,100000.0,mandate_expired,Mandate expired,Send re-authorization link,0.4075,40750.0,1.0,40749.0,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
7,PAY_09048,77650.53,checkout_abandon,Checkout abandonment,Send payment link,0.5134,39865.78,1.0,39864.78,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
8,PAY_07139,67366.3,mandate_expired,Mandate expired,Send re-authorization link,0.5683,38284.27,1.0,38283.27,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
9,PAY_00140,46069.6,insufficient_funds,Insufficient funds,Retry after 24 hours,0.7153,32953.58,2.0,32951.58,retry_scheduled,retry_scheduled,True,['All safety checks passed']
10,PAY_03733,43016.56,gateway_timeout,Gateway timeout,Retry immediately,0.7436,31987.11,2.0,31985.11,retry_now,retry_now,True,['All safety checks passed']
11,PAY_05724,60108.74,mandate_expired,Mandate expired,Send re-authorization link,0.5297,31839.6,1.0,31838.6,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
12,PAY_01339,37601.21,gateway_timeout,Gateway timeout,Retry immediately,0.8242,30990.92,2.0,30988.92,retry_now,retry_now,True,['All safety checks passed']
13,PAY_06274,55599.63,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5458,30346.28,2.0,30344.28,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
14,PAY_01617,46087.21,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6566,30260.86,2.0,30258.86,retry_scheduled,retry_scheduled,True,['All safety checks passed']
15,PAY_02864,53293.9,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5669,30212.31,2.0,30210.31,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
16,PAY_03689,34562.72,gateway_timeout,Gateway timeout,Retry immediately,0.8098,27988.89,2.0,27986.89,retry_now,retry_now,True,['All safety checks passed']
17,PAY_00632,31996.25,gateway_timeout,Gateway timeout,Retry immediately,0.8722,27907.13,2.0,27905.13,retry_now,retry_now,True,['All safety checks passed']
18,PAY_00847,60048.01,mandate_expired,Mandate expired,Send re-authorization link,0.4622,27754.19,1.0,27753.19,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
19,PAY_09553,37272.61,gateway_timeout,Gateway timeout,Retry immediately,0.7416,27641.37,2.0,27639.37,retry_now,retry_now,True,['All safety checks passed']
20,PAY_05923,37593.74,gateway_timeout,Gateway timeout,Retry immediately,0.7321,27522.38,2.0,27520.38,retry_now,retry_now,True,['All safety checks passed']
21,PAY_05714,32675.08,gateway_timeout,Gateway timeout,Retry immediately,0.8268,27015.76,2.0,27013.76,retry_now,retry_now,True,['All safety checks passed']
22,PAY_02776,34849.25,gateway_timeout,Gateway timeout,Retry immediately,0.7692,26806.04,2.0,26804.04,retry_now,retry_now,True,['All safety checks passed']
23,PAY_02167,41634.95,mandate_expired,Mandate expired,Send re-authorization link,0.6418,26721.31,1.0,26720.31,send_payment_link,send_payment_link,True,['All safety checks passed']
24,PAY_09674,45380.9,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5837,26488.83,2.0,26486.83,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
25,PAY_02143,37347.87,insufficient_funds,Insufficient funds,Retry after 24 hours,0.678,25321.86,2.0,25319.86,retry_scheduled,retry_scheduled,True,['All safety checks passed']
26,PAY_02337,39794.42,mandate_expired,Mandate expired,Send re-authorization link,0.6224,24768.05,1.0,24767.05,send_payment_link,send_payment_link,True,['All safety checks passed']
27,PAY_05872,28907.28,gateway_timeout,Gateway timeout,Retry immediately,0.831,24021.95,2.0,24019.95,retry_now,retry_now,True,['All safety checks passed']
28,PAY_07332,30274.74,gateway_timeout,Gateway timeout,Retry immediately,0.7726,23390.26,2.0,23388.26,retry_now,retry_now,True,['All safety checks passed']
29,PAY_00480,33581.14,insufficient_funds,Insufficient funds,Retry after 24 hours,0.6954,23352.32,2.0,23350.32,retry_scheduled,retry_scheduled,True,['All safety checks passed']
30,PAY_03063,29609.63,gateway_timeout,Gateway timeout,Retry immediately,0.778,23036.29,2.0,23034.29,retry_now,retry_now,True,['All safety checks passed']
31,PAY_07136,30692.41,gateway_timeout,Gateway timeout,Retry immediately,0.7148,21938.93,2.0,21936.93,retry_now,retry_now,True,['All safety checks passed']
32,PAY_03848,38698.27,insufficient_funds,Insufficient funds,Retry after 24 hours,0.5645,21845.17,2.0,21843.17,retry_scheduled,escalate_to_human,False,['Recovery probability is ambiguous']
33,PAY_02980,24927.08,gateway_timeout,Gateway timeout,Retry immediately,0.8678,21631.72,2.0,21629.72,retry_now,retry_now,True,['All safety checks passed']
34,PAY_03011,26471.34,gateway_timeout,Gateway timeout,Retry immediately,0.814,21547.67,2.0,21545.67,retry_now,retry_now,True,['All safety checks passed']
35,PAY_06503,41115.15,mandate_expired,Mandate expired,Send re-authorization link,0.5217,21449.77,1.0,21448.77,send_payment_link,escalate_to_human,False,['Recovery probability is ambiguous']
36,PAY_01447,25586.64,gateway_timeout,Gateway timeout,Retry immediately,0.8346,21354.61,2.0,21352.61,retry_now,retry_now,True,['All safety checks passed']
